epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
289;5,5742;-5,2148;0,1488;-9,3047;5,2422;;;;;;;;;;;;;;;
290;6,125;-4,6836;0,1476;-9,3438;4,668;;;;;;;;;;;;;;;
291;5,8945;-4,918;0,148;-9,3281;4,7891;;;;;;;;;;;;;;;
292;5,9609;-4,668;0,1402;-9,2266;4,6641;;;;;;;;;;;;;;;
293;6,125;-4,5703;0,1514;-9,1797;4,7031;;;;;;;;;;;;;;;
294;6,2578;-4,4922;0,1483;-9,2656;4,4922;;;;;;;;;;;;;;;
295;5,8789;-4,7422;0,1468;-9,1484;4,6445;;;;;;;;;;;;;;;
296;5,5039;-4,9883;0,151;-8,9844;5,1289;;;;;;;;;;;;;;;
297;5,4492;-5,3047;0,1546;-9,2031;5,0547;;;;;;;;;;;;;;;
298;5,543;-4,957;0,1481;-9,0156;5,1133;;;;;;;;;;;;;;;
299;5,625;-5,043;0,1484;-9,1719;5,0039;;;;;;;;;;;;;;;
300;5,5;-5,0039;0,1552;-8,9609;5,0352;;;;;;;;;;;;;;;
301;5,4141;-4,9727;0,1504;-8,8906;4,9922;;;;;;;;;;;;;;;
302;5,9258;-4,4375;0,1562;-8,7969;4,3945;;;;;;;;;;;;;;;
303;5,5781;-4,7148;0,1457;-8,8359;4,8711;;;;;;;;;;;;;;;
304;5,8203;-4,4922;0,1526;-8,7891;4,375;;;;;;;;;;;;;;;
305;5,4023;-4,8555;0,1492;-8,7578;4,7539;;;;;;;;;;;;;;;
306;5,457;-4,7734;0,1578;-8,6562;4,8711;;;;;;;;;;;;;;;
307;4,8906;-5,2109;0,1589;-8,5156;5,2461;;;;;;;;;;;;;;;
308;5,4805;-4,6367;0,1483;-8,6328;4,6797;;;;;;;;;;;;;;;
309;5,4141;-4,6523;0,1498;-8,5703;4,7344;;;;;;;;;;;;;;;
310;5,168;-4,8594;0,1445;-8,5859;4,8711;;;;;;;;;;;;;;;
311;5,2109;-4,8945;0,156;-8,5469;4,7109;;;;;;;;;;;;;;;
